,key,cpu_number,total,user,system,idle,nice,iowait,irq,softirq,steal,guest,guest_nice,iteration&time,time
3,cpu_number,3,8.5,0.3,2.8,91.5,0.0,5.0,0.0,0.3,0.0,0.0,0.0,1:1667130266.0445764,1667130266
4,cpu_number,4,15.7,5.3,9.4,84.3,0.0,0.9,0.0,0.1,0.0,0.0,0.0,1:1667130266.0445764,1667130266
5,cpu_number,5,9.9,3.1,6.6,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130266.0445764,1667130266
6,cpu_number,6,15.2,5.7,9.1,84.8,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1:1667130266.0445764,1667130266
7,cpu_number,7,4.0,1.2,2.7,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130266.0445764,1667130266
8,cpu_number,0,25.4,9.2,7.7,74.6,0.0,2.9,0.0,5.6,0.0,0.0,0.0,2:1667130286.5312023,1667130286
9,cpu_number,1,14.1,2.8,2.5,85.9,0.0,4.8,0.0,3.9,0.0,0.0,0.0,2:1667130286.5312023,1667130286
10,cpu_number,2,18.8,9.6,7.0,81.2,0.0,1.6,0.0,0.6,0.0,0.0,0.0,2:1667130286.5312023,1667130286
11,cpu_number,3,6.4,2.7,1.4,93.6,0.0,1.9,0.0,0.4,0.0,0.0,0.0,2:1667130286.5312023,1667130286
12,cpu_number,4,29.2,14.4,13.7,70.8,0.0,0.9,0.0,0.2,0.0,0.0,0.0,2:1667130286.5312023,1667130286
13,cpu_number,5,6.3,2.4,3.6,93.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2:1667130286.5312023,1667130286
14,cpu_number,6,16.6,7.2,8.0,83.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,2:1667130286.5312023,1667130286
15,cpu_number,7,10.0,4.8,5.2,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2:1667130286.5312023,1667130286
16,cpu_number,0,23.0,6.6,8.1,77.0,0.0,1.0,0.0,7.2,0.0,0.0,0.0,3:1667130306.877419,1667130306
17,cpu_number,1,11.4,2.3,4.1,88.6,0.0,1.9,0.0,3.1,0.0,0.0,0.0,3:1667130306.877419,1667130306
18,cpu_number,2,13.3,3.5,6.2,86.7,0.0,1.6,0.0,2.0,0.0,0.0,0.0,3:1667130306.877419,1667130306
19,cpu_number,3,2.6,0.9,1.1,97.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3:1667130306.877419,1667130306
20,cpu_number,4,31.9,16.9,12.9,68.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3:1667130306.877419,1667130306
21,cpu_number,5,25.4,21.3,2.8,74.6,0.0,1.3,0.0,0.0,0.0,0.0,0.0,3:1667130306.877419,1667130306
22,cpu_number,6,16.8,9.0,7.4,83.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,3:1667130306.877419,1667130306
23,cpu_number,7,3.7,1.2,2.4,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130306.877419,1667130306
0,cpu_number,0,27.4,5.0,5.4,72.6,0.0,7.9,0.0,9.2,0.0,0.0,0.0,1:1667130327.206475,1667130327
1,cpu_number,1,10.8,0.4,2.7,89.2,0.0,4.5,0.0,3.3,0.0,0.0,0.0,1:1667130327.206475,1667130327
2,cpu_number,2,18.7,9.0,6.5,81.3,0.0,2.9,0.0,0.2,0.0,0.0,0.0,1:1667130327.206475,1667130327
3,cpu_number,3,8.3,3.7,3.7,91.7,0.0,0.7,0.0,0.3,0.0,0.0,0.0,1:1667130327.206475,1667130327
4,cpu_number,4,24.7,9.8,10.4,75.3,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1:1667130327.206475,1667130327
5,cpu_number,5,1.6,0.5,1.0,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130327.206475,1667130327
6,cpu_number,6,15.7,6.8,6.2,84.3,0.0,2.5,0.0,0.2,0.0,0.0,0.0,1:1667130327.206475,1667130327
7,cpu_number,7,3.2,1.2,2.0,96.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130327.206475,1667130327
8,cpu_number,0,21.2,3.9,4.5,78.8,0.0,3.0,0.0,9.8,0.0,0.0,0.0,2:1667130347.546009,1667130347
9,cpu_number,1,13.9,2.5,2.2,86.1,0.0,7.5,0.0,1.7,0.0,0.0,0.0,2:1667130347.546009,1667130347
10,cpu_number,2,20.0,9.9,5.6,80.0,0.0,4.0,0.0,0.5,0.0,0.0,0.0,2:1667130347.546009,1667130347
11,cpu_number,3,3.7,1.1,1.8,96.3,0.0,0.2,0.0,0.5,0.0,0.0,0.0,2:1667130347.546009,1667130347
12,cpu_number,4,19.9,8.0,9.8,80.1,0.0,2.0,0.0,0.1,0.0,0.0,0.0,2:1667130347.546009,1667130347
13,cpu_number,5,6.6,3.5,3.0,93.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130347.546009,1667130347
14,cpu_number,6,21.1,11.2,6.3,78.9,0.0,3.6,0.0,0.0,0.0,0.0,0.0,2:1667130347.546009,1667130347
15,cpu_number,7,5.9,4.2,1.6,94.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130347.546009,1667130347
16,cpu_number,0,22.1,8.9,5.4,77.9,0.0,0.7,0.0,7.1,0.0,0.0,0.0,3:1667130367.8915038,1667130367
17,cpu_number,1,13.7,8.1,2.0,86.3,0.0,1.8,0.0,1.8,0.0,0.0,0.0,3:1667130367.8915038,1667130367
18,cpu_number,2,26.5,15.5,4.7,73.5,0.0,5.2,0.0,1.0,0.0,0.0,0.0,3:1667130367.8915038,1667130367
19,cpu_number,3,7.6,3.6,3.5,92.4,0.0,0.1,0.0,0.3,0.0,0.0,0.0,3:1667130367.8915038,1667130367
20,cpu_number,4,25.8,17.2,8.0,74.2,0.0,0.4,0.0,0.1,0.0,0.0,0.0,3:1667130367.8915038,1667130367
21,cpu_number,5,6.4,4.2,1.7,93.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,3:1667130367.8915038,1667130367
22,cpu_number,6,21.9,14.5,6.0,78.1,0.0,1.4,0.0,0.0,0.0,0.0,0.0,3:1667130367.8915038,1667130367
23,cpu_number,7,4.1,2.7,1.4,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130367.8915038,1667130367
0,cpu_number,0,26.5,11.5,3.1,73.5,0.0,1.8,0.0,10.1,0.0,0.0,0.0,1:1667130388.1784227,1667130388
1,cpu_number,1,12.5,4.5,2.2,87.5,0.0,4.8,0.0,0.9,0.0,0.0,0.0,1:1667130388.1784227,1667130388
2,cpu_number,2,16.4,9.8,4.1,83.6,0.0,1.3,0.0,1.2,0.0,0.0,0.0,1:1667130388.1784227,1667130388
3,cpu_number,3,15.4,12.3,2.3,84.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1:1667130388.1784227,1667130388
4,cpu_number,4,13.2,7.0,4.4,86.8,0.0,1.8,0.0,0.0,0.0,0.0,0.0,1:1667130388.1784227,1667130388
5,cpu_number,5,2.2,0.5,1.6,97.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130388.1784227,1667130388
6,cpu_number,6,10.1,6.4,3.3,89.9,0.0,0.3,0.0,0.0,0.0,0.0,0.0,1:1667130388.1784227,1667130388
7,cpu_number,7,11.9,10.9,1.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130388.1784227,1667130388
8,cpu_number,0,23.3,14.9,4.0,76.7,0.0,0.6,0.0,3.9,0.0,0.0,0.0,2:1667130408.4690945,1667130408
9,cpu_number,1,7.0,3.2,1.5,93.0,0.0,0.6,0.0,1.8,0.0,0.0,0.0,2:1667130408.4690945,1667130408
10,cpu_number,2,14.0,8.0,3.1,86.0,0.0,2.5,0.0,0.4,0.0,0.0,0.0,2:1667130408.4690945,1667130408
11,cpu_number,3,6.7,4.6,1.1,93.3,0.0,0.6,0.0,0.4,0.0,0.0,0.0,2:1667130408.4690945,1667130408
12,cpu_number,4,18.8,10.2,8.1,81.2,0.0,0.4,0.0,0.1,0.0,0.0,0.0,2:1667130408.4690945,1667130408
13,cpu_number,5,2.6,1.3,1.1,97.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,2:1667130408.4690945,1667130408
14,cpu_number,6,15.8,6.2,9.4,84.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,2:1667130408.4690945,1667130408
15,cpu_number,7,3.9,2.4,0.9,96.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2:1667130408.4690945,1667130408
16,cpu_number,0,1.8,0.1,0.8,98.2,0.0,0.0,0.0,0.9,0.0,0.0,0.0,3:1667130428.6954496,1667130428
17,cpu_number,1,0.5,0.0,0.2,99.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,3:1667130428.6954496,1667130428
18,cpu_number,2,0.7,0.2,0.4,99.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
19,cpu_number,3,0.2,0.1,0.0,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
20,cpu_number,4,9.6,0.7,8.8,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
21,cpu_number,5,0.3,0.0,0.2,99.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
22,cpu_number,6,3.3,0.3,3.0,96.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
23,cpu_number,7,1.3,0.4,0.9,98.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3:1667130428.6954496,1667130428
0,cpu_number,0,0.3,0.1,0.0,99.7,0.0,0.0,0.0,0.1,0.0,0.0,0.0,1:1667130448.9076693,1667130448
1,cpu_number,1,0.1,0.0,0.0,99.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
2,cpu_number,2,2.1,0.1,2.0,97.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
3,cpu_number,3,1.6,0.2,1.4,98.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
4,cpu_number,4,2.9,0.3,2.6,97.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
5,cpu_number,5,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
6,cpu_number,6,5.2,0.3,4.9,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
7,cpu_number,7,1.4,0.4,0.9,98.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1:1667130448.9076693,1667130448
8,cpu_number,0,19.1,6.2,7.0,80.9,0.5,0.0,0.0,5.4,0.0,0.0,0.0,2:1667130469.1774063,1667130469
